Handle,Timestamp,Content,Comments,Retweets,Likes
@brian_armstrong,2023-08-30T16:32:17.000Z,"1/ I'm sharing the 10 ideas I'm most excited about in crypto right now. If you're building something in crypto or thinking about doing so - check it out.

We’re building lots at Coinbase, but we don't have time to tackle everything. So I figured I'd share these. Bear markets are…",940,"2,995","5,916"
@emiliemc,2023-10-25T04:04:32.000Z,We love our partnership with the . Cc: ,0,10,204
@BanklessHQ,2023-10-24T14:35:43.000Z,"CALL TO ACTION!

We need to stop the U.S. from killing crypto The new IRS proposals could effectively destroy DeFi & other crypto use cases

The good news? We can change this 5 minutes is all it takes to leave a comment & delay the interpretation

Instructions below",41,125,332
@brian_armstrong,2023-10-25T04:13:00.000Z,"Fred is an incredible builder, techno optimist, and friend. We're lucky to have him on team crypto and team human.

He went 2 for 2 on founding billion dollar companies (let that sink in). Still hungry and working hard every day.",46,39,539
@brian_armstrong,2023-10-25T03:37:13.000Z,Memory lane,23,6,59
@brian_armstrong,2023-10-24T23:23:32.000Z,Well said,30,23,190
@brian_armstrong,2023-10-24T23:18:14.000Z,Let's do it live,38,27,258
@iampaulgrewal,2023-10-24T20:30:26.000Z,"The 's opp. to our motion for judgment claims roving authority over all investments, with “security” and “contract” in the statutes performing no limiting function at all. As our reply shows, that's never been the law, and it's not the law now. 1/3 https://assets.ctfassets.net/c5bd0wqjc7v0/37TO37eaSL7knzM0AuFpF2/5d592e310542199df79843d815ab0716/SEC_v._Coinbase__Coinbase_Reply_Memorandum_of_Law_in_Support_of_Motion_for_Judgment_on_the_Pleadings__As-Filed_.pdf…",41,151,836
@brian_armstrong,2023-10-23T18:03:27.000Z,This is why healthspan is just as important as lifespan,63,50,473
@nic__carter,2023-10-23T13:52:40.000Z,Is today the day that the  admits they overstated  the bitcoin terrorist financing figures by ~200x and committed journalistic malpractice? Let’s find out,68,461,"2,719"
@brian_armstrong,2023-10-22T21:01:03.000Z,X combatting misinformation in MSM,74,178,"1,339"
@iampaulgrewal,2023-10-22T18:16:26.000Z,Yes— wrong is wrong. This reported misinformation furthers agendas that demean real human tragedy and genuine and effective efforts to thwart those who are responsible.,63,182,859
